orgno,category,orgname,2018budget,year,completed,WC,PromotionFocus,PreventionFocus
1,private,Leidos,"$6,889,618,000",1999,y,0,0.00,0.00
1,private,Leidos,"$6,889,618,000",2000,y,304,1.32,0.00
1,private,Leidos,"$6,889,618,000",2001,y,222,1.80,0.00
1,private,Leidos,"$6,889,618,000",2002,y,222,1.80,0.00
1,private,Leidos,"$6,889,618,000",2003,y,292,1.37,0.00
1,private,Leidos,"$6,889,618,000",2004,y,292,1.37,0.00
1,private,Leidos,"$6,889,618,000",2005,y,296,1.35,0.00
1,private,Leidos,"$6,889,618,000",2006,y,295,1.36,0.00
1,private,Leidos,"$6,889,618,000",2007,y,233,0.43,0.86
1,private,Leidos,"$6,889,618,000",2008,y,271,0.37,0.37
1,private,Leidos,"$6,889,618,000",2009,y,188,0.00,1.06
1,private,Leidos,"$6,889,618,000",2010,y,180,0.00,1.11
1,private,Leidos,"$6,889,618,000",2011,y,180,0.00,1.11
1,private,Leidos,"$6,889,618,000",2012,y,178,0.00,1.12
1,private,Leidos,"$6,889,618,000",2013,y,178,0.00,1.12
1,private,Leidos,"$6,889,618,000",2014,y,555,0.36,0.18
1,private,Leidos,"$6,889,618,000",2015,y,553,0.18,0.72
1,private,Leidos,"$6,889,618,000",2016,y,548,0.18,0.91
1,private,Leidos,"$6,889,618,000",2017,y,588,0.34,0.34
1,private,Leidos,"$6,889,618,000",2018,y,0,0.00,0.00
2,private,Lockheed Martin,"$6,872,155,000",1999,y,100,3.00,0.00
2,private,Lockheed Martin,"$6,872,155,000",2000,y,266,2.63,0.00
2,private,Lockheed Martin,"$6,872,155,000",2001,y,161,1.86,0.00
2,private,Lockheed Martin,"$6,872,155,000",2002,y,161,1.86,0.00
2,private,Lockheed Martin,"$6,872,155,000",2003,y,147,2.04,0.00
2,private,Lockheed Martin,"$6,872,155,000",2004,y,0,0.00,0.00
2,private,Lockheed Martin,"$6,872,155,000",2005,y,0,0.00,0.00
2,private,Lockheed Martin,"$6,872,155,000",2006,y,291,1.03,0.00
2,private,Lockheed Martin,"$6,872,155,000",2007,y,291,1.03,0.00
2,private,Lockheed Martin,"$6,872,155,000",2008,y,263,0.76,0.00
2,private,Lockheed Martin,"$6,872,155,000",2009,y,255,0.39,0.78
2,private,Lockheed Martin,"$6,872,155,000",2010,y,246,0.41,0.81
2,private,Lockheed Martin,"$6,872,155,000",2011,y,249,0.40,0.80
2,private,Lockheed Martin,"$6,872,155,000",2012,y,226,0.44,0.88
2,private,Lockheed Martin,"$6,872,155,000",2013,y,262,0.38,0.76
2,private,Lockheed Martin,"$6,872,155,000",2014,y,263,0.38,0.76
2,private,Lockheed Martin,"$6,872,155,000",2015,y,0,0.00,0.00
2,private,Lockheed Martin,"$6,872,155,000",2016,y,324,0.93,1.54
2,private,Lockheed Martin,"$6,872,155,000",2017,y,298,0.67,1.68
2,private,Lockheed Martin,"$6,872,155,000",2018,y,296,0.68,1.69
3,private,Northrup Grumman,"$6,168,409,000",1999,y,0,0.00,0.00
3,private,Northrup Grumman,"$6,168,409,000",2000,y,0,0.00,0.00
3,private,Northrup Grumman,"$6,168,409,000",2001,y,0,0.00,0.00
3,private,Northrup Grumman,"$6,168,409,000",2002,y,0,0.00,0.00
3,private,Northrup Grumman,"$6,168,409,000",2003,y,0,0.00,0.00
3,private,Northrup Grumman,"$6,168,409,000",2004,y,530,0.57,0.75
3,private,Northrup Grumman,"$6,168,409,000",2005,y,230,0.87,0.43
3,private,Northrup Grumman,"$6,168,409,000",2006,y,739,0.54,0.68
3,private,Northrup Grumman,"$6,168,409,000",2007,y,289,0.35,1.38
3,private,Northrup Grumman,"$6,168,409,000",2008,y,287,0.35,1.39
3,private,Northrup Grumman,"$6,168,409,000",2009,y,287,0.35,1.39
3,private,Northrup Grumman,"$6,168,409,000",2010,y,488,0.61,1.64
3,private,Northrup Grumman,"$6,168,409,000",2011,y,389,0.77,1.80
3,private,Northrup Grumman,"$6,168,409,000",2012,y,422,0.95,1.90
3,private,Northrup Grumman,"$6,168,409,000",2013,y,419,0.72,1.91
3,private,Northrup Grumman,"$6,168,409,000",2014,y,331,0.60,2.72
3,private,Northrup Grumman,"$6,168,409,000",2015,y,362,0.83,2.49
3,private,Northrup Grumman,"$6,168,409,000",2016,y,281,0.71,2.85
3,private,Northrup Grumman,"$6,168,409,000",2017,y,809,0.87,1.11
3,private,Northrup Grumman,"$6,168,409,000",2018,y,807,0.87,1.12
4,private,Boeing,"$5,153,675,000",1996,y,324,3.70,1.23
4,private,Boeing,"$5,153,675,000",1997,y,324,3.70,1.23
4,private,Boeing,"$5,153,675,000",1998,y,324,3.70,1.23
4,private,Boeing,"$5,153,675,000",1999,y,324,3.70,1.23
4,private,Boeing,"$5,153,675,000",2000,y,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2001,y,10,0.00,0.00
4,private,Boeing,"$5,153,675,000",2002,y,10,0.00,0.00
4,private,Boeing,"$5,153,675,000",2003,y,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2004,y,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2005,y,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2006,y,214,1.87,0.00
4,private,Boeing,"$5,153,675,000",2007,y,215,1.86,0.00
4,private,Boeing,"$5,153,675,000",2008,y,244,1.64,0.00
4,private,Boeing,"$5,153,675,000",2009,y,244,1.64,0.00
4,private,Boeing,"$5,153,675,000",2010,y,244,1.64,0.00
4,private,Boeing,"$5,153,675,000",2011,y,244,1.64,0.00
4,private,Boeing,"$5,153,675,000",2012,y,244,1.64,0.00
4,private,Boeing,"$5,153,675,000",2013,y,245,1.63,0.00
4,private,Boeing,"$5,153,675,000",2014,y,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2015,y,878,0.68,1.48
4,private,Boeing,"$5,153,675,000",2016,,0,0.00,0.00
4,private,Boeing,"$5,153,675,000",2017,y,694,0.58,1.30
4,private,Boeing,"$5,153,675,000",2018,y,634,0.79,1.26
5,private,Raytheon,"$4,326,778,000",1996,y,329,0.61,0.00
5,private,Raytheon,"$4,326,778,000",1997,y,329,0.61,0.00
5,private,Raytheon,"$4,326,778,000",1998,y,1562,0.38,0.38
5,private,Raytheon,"$4,326,778,000",1999,y,1617,0.31,0.49
5,private,Raytheon,"$4,326,778,000",2000,y,1734,0.35,0.58
5,private,Raytheon,"$4,326,778,000",2001,y,1734,0.35,0.58
5,private,Raytheon,"$4,326,778,000",2002,y,501,0.80,0.40
5,private,Raytheon,"$4,326,778,000",2003,y,144,0.69,0.00
5,private,Raytheon,"$4,326,778,000",2004,y,150,0.67,0.00
5,private,Raytheon,"$4,326,778,000",2005,y,150,0.67,0.00
5,private,Raytheon,"$4,326,778,000",2006,y,160,0.62,0.00
5,private,Raytheon,"$4,326,778,000",2007,y,229,0.44,0.44
5,private,Raytheon,"$4,326,778,000",2008,y,302,0.66,1.32
5,private,Raytheon,"$4,326,778,000",2009,y,284,0.70,1.41
5,private,Raytheon,"$4,326,778,000",2010,y,286,0.70,1.40
5,private,Raytheon,"$4,326,778,000",2011,y,287,0.70,1.39
5,private,Raytheon,"$4,326,778,000",2012,y,285,0.70,1.40
5,private,Raytheon,"$4,326,778,000",2013,y,285,0.70,1.40
5,private,Raytheon,"$4,326,778,000",2014,y,359,1.11,0.28
5,private,Raytheon,"$4,326,778,000",2015,y,334,0.90,0.30
5,private,Raytheon,"$4,326,778,000",2016,y,305,0.66,0.33
5,private,Raytheon,"$4,326,778,000",2017,y,305,0.66,0.33
5,private,Raytheon,"$4,326,778,000",2018,y,298,0.67,0.34
6,private,General Dynamics,"$4,251,506,000",1999,y,148,0.68,0.00
6,private,General Dynamics,"$4,251,506,000",2000,y,183,0.55,0.00
6,private,General Dynamics,"$4,251,506,000",2001,y,183,0.55,0.00
